Sample	SRA_Run_Id	Name	Sample Title	Description	BioProject	BioProject Title	Source	Country	collection date	INSDC center name	BioSample	Mouse strain
C10	ERR1989816	F_T6_CR_2	Caloric restricted male mouse		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091427	C57BL/6
C11	ERR1989817	F_T6_CR_3	Caloric restricted male mouse		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091428	C57BL/6
C12	ERR1989818	F_T6_CR_4	Caloric restricted male mouse		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091429	C57BL/6
C13	ERR1989819	F_T6_CR_5	Male control mouse at RT and ad libitum food		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091430	C57BL/6
C14	ERR1989820	F_T6_CR_6	Male control mouse at RT and ad libitum food		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091431	C57BL/6
C15	ERR1989821	F_T6_CR_7	Caloric restricted male mouse		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091432	C57BL/6
C16	ERR1989822	F_T6_CR_8	Caloric restricted male mouse		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091433	C57BL/6
C1	ERR1989807	F_T6_AL_1	Male control mouse at RT and ad libitum food		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091418	C57BL/6
C2	ERR1989808	F_T6_AL_2	Male control mouse at RT and ad libitum food		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091419	C57BL/6
C3	ERR1989809	F_T6_AL_3	Male control mouse at RT and ad libitum food		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091420	C57BL/6
C4	ERR1989810	F_T6_AL_4	Male control mouse at RT and ad libitum food		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091421	C57BL/6
C5	ERR1989811	F_T6_AL_5	Male control mouse at RT and ad libitum food		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091422	C57BL/6
C6	ERR1989812	F_T6_AL_6	Male control mouse at RT and ad libitum food		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091423	C57BL/6
C7	ERR1989813	F_T6_AL_7	Caloric restricted male mouse		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091424	C57BL/6
C8	ERR1989814	F_T6_AL_8	Caloric restricted male mouse		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091425	C57BL/6
C9	ERR1989815	F_T6_CR_1	Caloric restricted male mouse		PRJEB20796	Metagenomics of caloric restricted mice	Cecum	Switzerland	2015-02-24	University of Geneva	SAMEA104091426	C57BL/6
