	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	Taxid_domain	SpeciesName	Cultured	Isolated	Collection
GCF_000012085.2	PRJNA224116	SAMN02603508		representative genome	314724	142.0	Borrelia turicatae 91E135	strain=91E135	Oz1	latest	Complete Genome	Major	Full	2017/07/05	ASM1208v2	Laboratory of Human Bacterial Pathenogenesis, Rocky Mountain Laboratories, NIAID	GCA_000012085.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/085/GCF_000012085.2_ASM1208v2		assembly designated as reftype	2.0		True	True	
GCF_000225365.1	PRJNA224116	SAMN02470737	AGAG00000000.1	na	1073972	49118.0	Candidatus Arthromitus sp. SFB-mouse-NYU	strain=SFB-mouse-NYU		latest	Contig	Major	Full	2011/09/06	ASM22536v2	NYU School of Medicine	GCA_000225365.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/365/GCF_000225365.1_ASM22536v2			2.0		True	True	
GCF_000250815.1	PRJNA224116	SAMN02469567	AHWD00000000.1	na	1143190	29459.0	Brucella melitensis 16M1W	strain=16M1W		latest	Contig	Major	Full	2012/02/28	ASM25081v2	Chinese PLA Institute for Disease Control & Prevention, Academy of Military Medical Sciences	GCA_000250815.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/250/815/GCF_000250815.1_ASM25081v2			2.0		True	True	
GCF_000250835.1	PRJNA224116	SAMN02469570	AHWE00000000.1	na	1143191	29459.0	Brucella melitensis 16M13W	strain=16M13W		latest	Contig	Major	Full	2012/02/28	ASM25083v2	Chinese PLA Institute for Disease Control & Prevention, Academy of Military Medical Sciences	GCA_000250835.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/250/835/GCF_000250835.1_ASM25083v2			2.0		True	True	
GCF_000264235.1	PRJNA224116	SAMN02428994	AJWV00000000.1	na	752790	562.0	Escherichia coli CUMT8	strain=CUMT8		latest	Contig	Major	Full	2012/05/23	ASM26423v1	Cornell University	GCA_000264235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/264/235/GCF_000264235.1_ASM26423v1			2.0		True	True	
GCF_000268545.1	PRJNA224116	SAMN02141448	AKRM00000000.1	na	992127	632.0	Yersinia pestis PY-01	strain=PY-01		latest	Contig	Major	Full	2012/06/15	ASM26854v1	Institute for Genome Sciences	GCA_000268545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/268/545/GCF_000268545.1_ASM26854v1			2.0		True	True	
GCF_000268665.1	PRJNA224116	SAMN02141465	AKSD00000000.1	na	992144	632.0	Yersinia pestis PY-25	strain=PY-25		latest	Contig	Major	Full	2012/06/15	ASM26866v1	Institute for Genome Sciences	GCA_000268665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/268/665/GCF_000268665.1_ASM26866v1			2.0		True	True	
GCF_000268685.1	PRJNA224116	SAMN02141466	AKSE00000000.1	na	992145	632.0	Yersinia pestis PY-29	strain=PY-29		latest	Contig	Major	Full	2012/06/15	ASM26868v1	Institute for Genome Sciences	GCA_000268685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/268/685/GCF_000268685.1_ASM26868v1			2.0		True	True	
GCF_000268745.1	PRJNA224116	SAMN02141471	AKSJ00000000.1	na	992150	632.0	Yersinia pestis PY-45	strain=PY-45		latest	Contig	Major	Full	2012/06/15	ASM26874v1	Institute for Genome Sciences	GCA_000268745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/268/745/GCF_000268745.1_ASM26874v1			2.0		True	True	
GCF_000268765.1	PRJNA224116	SAMN02141474	AKSM00000000.1	na	992153	632.0	Yersinia pestis PY-48	strain=PY-48		latest	Contig	Major	Full	2012/06/15	ASM26876v1	Institute for Genome Sciences	GCA_000268765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/268/765/GCF_000268765.1_ASM26876v1			2.0		True	True	
GCF_000269265.1	PRJNA224116	SAMN02141469	AKSH00000000.1	na	992148	632.0	Yersinia pestis PY-36	strain=PY-36		latest	Contig	Major	Full	2012/06/15	ASM26926v1	Institute for Genome Sciences	GCA_000269265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/269/265/GCF_000269265.1_ASM26926v1			2.0		True	True	
GCF_000269285.2	PRJNA224116	SAMN02141470	AKSI00000000.1	na	992149	632.0	Yersinia pestis PY-42	strain=PY-42		latest	Contig	Minor	Full	2012/06/15	ASM26928v2	Institute for Genome Sciences	GCA_000269285.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/269/285/GCF_000269285.2_ASM26928v2			2.0		True	True	
GCF_000270205.1	PRJNA224116	SAMD00060989		na	1029718	49118.0	Candidatus Arthromitus sp. SFB-mouse-Japan		mouse isolate	latest	Complete Genome	Major	Full	2011/08/02	ASM27020v1	Frontier Science Research Center, University of Miyazaki	GCA_000270205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/205/GCF_000270205.1_ASM27020v1			2.0		True	True	
GCF_000274965.2	PRJNA224116	SAMN01818776	AKQN00000000.1	na	992117	210.0	Helicobacter pylori Hp M1	strain=Hp M1		latest	Contig	Minor	Full	2012/06/28	ASM27496v2	Institute for Genome Sciences	GCA_000274965.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/274/965/GCF_000274965.2_ASM27496v2			2.0		True	True	
